id_cliente,Churn,cliente.genero,cliente.idoso,cliente.parceiro,cliente.dependentes,cliente.tempo_servico,telefone.servico_telefone,telefone.varias_linhas,internet.servico_internet,internet.seguranca_online,internet.backup_online,internet.protecao_dispositivo,internet.suporte_tecnico,internet.tv_streaming,internet.filmes_streaming,conta.contrato,conta.faturamente_eletronico,conta.metodo_pagamento,conta.cobranca.mensal,conta.cobranca.Total 
0002-ORFBO,nao,feminino,0,sim,sim,9.0,sim,nao,DSL,nao,sim,nao,sim,sim,nao,,,,,
0003-MKNFE,nao,masculino,0,nao,nao,9.0,sim,sim,DSL,nao,nao,nao,nao,nao,sim,mes a mes,nao,cheque pelo correio,59.9,542.4
0004-TLHLJ,sim,masculino,0,nao,nao,4.0,sim,nao,fibra otica,nao,nao,sim,nao,nao,nao,mes a mes,sim,cheque eletronico,73.9,280.85
0011-IGKFF,sim,masculino,1,sim,nao,13.0,sim,nao,fibra otica,nao,sim,sim,nao,sim,sim,mes a mes,sim,cheque eletronico,98.0,1237.85
0013-EXCHZ,sim,feminino,1,sim,nao,3.0,sim,nao,fibra otica,nao,nao,nao,sim,sim,nao,mes a mes,sim,cheque pelo correio,83.9,267.4
0013-MHZWF,nao,feminino,0,nao,sim,9.0,sim,nao,DSL,nao,nao,nao,sim,sim,sim,mes a mes,sim,cartao de credito (automatico),69.4,571.45
0013-SMEOE,nao,feminino,1,sim,nao,71.0,sim,nao,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,sim,transferencia bancaria (automatica),109.7,7904.25
0014-BMAQU,nao,masculino,0,sim,nao,63.0,sim,sim,fibra otica,sim,nao,nao,sim,nao,nao,dois anos,sim,cartao de credito (automatico),84.65,5377.8
0015-UOCOJ,nao,feminino,1,nao,nao,7.0,sim,nao,DSL,sim,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,48.2,340.35
0016-QLJIS,nao,feminino,0,sim,sim,,sim,sim,DSL,sim,sim,sim,sim,sim,sim,dois anos,sim,cheque pelo correio,90.45,5957.9
0017-DInaoC,nao,masculino,0,nao,nao,54.0,nao,sem servico de telefone,DSL,sim,nao,nao,sim,sim,nao,dois anos,nao,cartao de credito (automatico),45.2,2460.55
0017-IUDMW,nao,feminino,0,sim,sim,72.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,sim,cartao de credito (automatico),116.8,8456.75
0018-NYROU,nao,feminino,0,sim,nao,5.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,68.95,351.5
0019-EFAEP,nao,feminino,0,nao,nao,72.0,sim,sim,fibra otica,sim,sim,sim,nao,sim,nao,dois anos,sim,transferencia bancaria (automatica),101.3,7261.25
0019-GFNTW,nao,feminino,0,nao,nao,56.0,nao,sem servico de telefone,DSL,sim,sim,sim,sim,nao,nao,dois anos,nao,transferencia bancaria (automatica),45.05,2560.1
0020-INWCK,nao,feminino,0,sim,sim,71.0,sim,sim,fibra otica,nao,sim,sim,nao,nao,sim,dois anos,sim,cartao de credito (automatico),95.75,6849.4
0020-JDNXP,nao,feminino,0,sim,sim,34.0,nao,sem servico de telefone,DSL,sim,nao,sim,sim,sim,sim,um ano,nao,cheque pelo correio,61.25,1993.2
0021-IKXGC,nao,feminino,1,nao,nao,1.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,72.1,72.1
0022-TCJCI,sim,masculino,1,nao,nao,45.0,sim,nao,DSL,sim,nao,sim,nao,nao,sim,um ano,nao,cartao de credito (automatico),62.7,2791.5
0023-HGHWL,sim,masculino,1,nao,nao,1.0,nao,sem servico de telefone,DSL,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,25.1,25.1
0023-UYUPN,nao,feminino,1,sim,nao,50.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,cheque eletronico,25.2,1306.3
0023-XUOPT,sim,feminino,0,sim,nao,13.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,nao,mes a mes,nao,cheque eletronico,94.1,1215.6
0027-KWYKW,nao,feminino,0,sim,sim,23.0,sim,sim,fibra otica,nao,nao,nao,nao,sim,nao,mes a mes,sim,cheque eletronico,83.75,1849.95
0030-FNXPP,nao,feminino,0,nao,nao,3.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,19.85,57.2
0031-PVLZI,sim,feminino,0,sim,sim,4.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,20.35,76.35
0032-PGELS,sim,feminino,0,sim,sim,1.0,nao,sem servico de telefone,DSL,sim,nao,nao,nao,nao,nao,mes a mes,nao,transferencia bancaria (automatica),30.5,30.5
0036-IHMOT,nao,feminino,0,sim,sim,55.0,sim,nao,fibra otica,nao,sim,sim,sim,sim,sim,um ano,sim,transferencia bancaria (automatica),103.7,5656.75
0040-HALCW,nao,masculino,0,sim,sim,54.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cartao de credito (automatico),20.4,1090.6
0042-JVWOJ,nao,masculino,0,nao,nao,26.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,sim,transferencia bancaria (automatica),19.6,471.85
0042-RLHYP,nao,feminino,0,sim,sim,69.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,transferencia bancaria (automatica),19.7,1396.9
0048-LumLS,nao,masculino,0,sim,sim,37.0,sim,nao,fibra otica,nao,nao,nao,nao,sim,sim,um ano,nao,cartao de credito (automatico),91.2,3247.55
0048-PIHNL,nao,feminino,0,sim,nao,49.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,transferencia bancaria (automatica),20.45,900.9
0052-DCKON,nao,masculino,0,sim,nao,66.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,um ano,nao,transferencia bancaria (automatica),115.8,7942.15
0052-YNYOT,nao,feminino,0,nao,nao,67.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,cheque eletronico,20.55,1343.4
0056-EPFBG,nao,masculino,0,sim,sim,20.0,nao,sem servico de telefone,DSL,sim,nao,sim,sim,nao,nao,dois anos,sim,cartao de credito (automatico),39.4,825.4
0057-QBUQH,nao,feminino,0,nao,sim,43.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,cheque eletronico,25.1,1070.15
0058-EVZWM,nao,feminino,0,sim,nao,55.0,sim,sim,fibra otica,sim,nao,nao,nao,sim,nao,mes a mes,sim,transferencia bancaria (automatica),89.8,4959.6
